undetermined read_count	1492309
mapped read_count	13422618
overall read_count	14914927.0

undetermined yield	450677318
mapped yield	4053630636
overall yield	4504307954

undetermined_proportion	0.1001
mapped_proportion	0.8999

sample_name	number_of_reads	yield	fraction_of_all_reads
KGKA-BKG-026-JBS-2023-MSMT-1	32981	9960262	0.0022
KGBR-BUT192-NAY-2023-MSMT-1	32209	9727118	0.0022
KGBR-BUT141-KET-2023-MSMT-1	33517	10122134	0.0022
KGBR-BUT016-JNN-2023-MSMT-1	32736	9886272	0.0022
KGBI-KZB-024-AMM-2023-MSMT-1	32976	9958752	0.0022
KGKA-BKG-118-OPM-2023-MSMT-1	30835	9312170	0.0021
KGKA-BKG-060-IEC-2023-MSMT-1	31310	9455620	0.0021
KGBR-BUT234-RKR-2023-MSMT-1	31752	9589104	0.0021
KGBR-BUT072-AKW-2023-MSMT-1	30619	9246938	0.0021
KGKY-RWB148-DJM-2023-MSMT-1	30151	9105602	0.002
KGKY-RWB023-SZS-2023-MSMT-1	29614	8943428	0.002
KGBR-BUT290-JJA-2023-MSMT-1	29294	8846788	0.002
KGBR-BUT143-KRR-2023-MSMT-1	29210	8821420	0.002
KGBR-BUT121-VAJ-2023-MSMT-1	29695	8967890	0.002
KGBR-BUT065-RKS-2023-MSMT-1	29187	8814474	0.002
KGKY-RUG-104-EAB-2023-MSMT-1	28626	8645052	0.0019
KGKA-BKG202-EEE-2023-MSMT-1	27766	8385332	0.0019
KGKA-BKG-023-DDB-2023-MSMT-1	27785	8391070	0.0019
KGBR-BUT289-EAJ-2023-MSMT-1	29057	8775214	0.0019
KGBR-BUT165-MAR-2023-MSMT-1	27593	8333086	0.0019
DD2-2023-MSMT-8	27698	8364796	0.0019
KGKA-BKG-058-LMA-2023-MSMT-1	26279	7936258	0.0018
KGBR-BUT236-ETN-2023-MSMT-1	26322	7949244	0.0018
KGBR-BUT082-ETA-2023-MSMT-1	27203	8215306	0.0018
KGBI-KZB-028-KEJ-2023-MSMT-1	26156	7899112	0.0018
DD2-2023-MSMT-14	26961	8142222	0.0018
KGNG-CVU128-REE-2023-MSMT-1	25874	7813948	0.0017
KGNG-CVU107-JAE-2023-MSMT-1	25427	7678954	0.0017
KGKY-RUG-018-JJA-2023-MSMT-1	25972	7843544	0.0017
KGKA-BKG240-EEP-2023-MSMT-1	24865	7509230	0.0017
KGKA-BKG227-AML-2023-MSMT-1	25619	7736938	0.0017
KGKA-BKG-139-DNM-2023-MSMT-1	25189	7607078	0.0017
KGKA-BKG-087-AEM-2023-MSMT-1	25875	7814250	0.0017
KGKA-BKG-034-SRS-2023-MSMT-1	25589	7727878	0.0017
KGBR-BUT243-MKE-2023-MSMT-1	25880	7815760	0.0017
KGBR-BUT174-EEK-2023-MSMT-1	24884	7514968	0.0017
KGBR-BUT047-RKY-2023-MSMT-1	25971	7843242	0.0017
DD2-2023-MSMT-16	25268	7630936	0.0017
-KGBR-BUT273-MNA-2023-MSMT-1	25964	7841128	0.0017
KGKY-RWB-226-LKK-2023-MSMT-1	24425	7376350	0.0016
KGBR-BUT303-JAP-2023-MSMT-1	24104	7279408	0.0016
KGBR-BUT244-EAE-2023-MSMT-1	24364	7357928	0.0016
KGBR-BUT051-BKE-2023-MSMT-1	23742	7170084	0.0016
DD2-2023-MSMT-13	23674	7149548	0.0016
KGNG-CVU002-APM-2023-MSMT-1	22926	6923652	0.0015
KGKY-RWB080-ADA-2023-MSMT-1	22265	6724030	0.0015
KGKA-BKG197-AVP-2023-MSMT-1	21923	6620746	0.0015
KGBR-BUT087-IAM-2023-MSMT-1	22726	6863252	0.0015
KGBR-BUT046-SKH-2023-MSMT-1	21680	6547360	0.0015
KGKY-RUG-128-PBM-2023-MSMT-1	20534	6201268	0.0014
KGKY-RUG-113-APR-2023-MSMT-1	20216	6105232	0.0014
KGKY-RUG-040-ASL-2023-MSMT-1	21488	6489376	0.0014
KGKA-BKG235-VKS-2023-MSMT-1	21215	6406930	0.0014
KGKA-BKG200-AOB-2023-MSMT-1	20602	6221804	0.0014
KGBR-BUT307-KAJ-2023-MSMT-1	20268	6120936	0.0014
KGBR-BUT175-ETF-2023-MSMT-1	21141	6384582	0.0014
KGBR-BUT167-ICA-2023-MSMT-1	20623	6228146	0.0014
DD2-2023-MSMT-7	20311	6133922	0.0014
DD2-2023-MSMT-15	21067	6362234	0.0014
KGNG-CVU007-DDM-2023-MSMT-1	19970	6030940	0.0013
KGKY-RWB077-ADL-2023-MSMT-1	19836	5990472	0.0013
KGKY-RWB-228-AJF-2023-MSMT-1	18745	5660990	0.0013
KGKA-BKG203-ZBR-2023-MSMT-1	20076	6062952	0.0013
KGBR-BUT309-RKS-2023-MSMT-1	20074	6062348	0.0013
KGBR-BUT275-DAM-2023-MSMT-1	19084	5763368	0.0013
KGBR-BUT221-EAA-2023-MSMT-1	19584	5914368	0.0013
KGBR-BUT154-LAA-2023-MSMT-1	18824	5684848	0.0013
DD2-2023-MSMT-5	19216	5803232	0.0013
KGNG-CVU148-ADM-2023-MSMT-1	18515	5591530	0.0012
KGKY-RWB015-SZF-2023-MSMT-1	17848	5390096	0.0012
KGKY-RUG-079-JJN-2023-MSMT-1	17636	5326072	0.0012
KGKA-BKG234-AMS-2023-MSMT-1	18461	5575222	0.0012
KGBR-BUT312-RRR-2023-MSMT-1	18114	5470428	0.0012
KGBR-BUT268-JEG-2023-MSMT-1	17238	5205876	0.0012
KGBR-BUT083-TAA-2023-MSMT-1	17423	5261746	0.0012
3D7-2023-MSMT-6	17809	5378318	0.0012
KGKY-RWB032-AEP-2023-MSMT-1	15869	4792438	0.0011
KGKY-RUG-055-AAF-2023-MSMT-1	16454	4969108	0.0011
KGKY-RUG-024-ESC-2023-MSMT-1	16670	5034340	0.0011
KGKA-BKG-032-EEE-2023-MSMT-1	16728	5051856	0.0011
KGBR-BUT242-NGB-2023-MSMT-1	17135	5174770	0.0011
KGBR-BUT085-AAP-2023-MSMT-1	15944	4815088	0.0011
KGKY-RWB-294-HPP-2023-MSMT-1	14304	4319808	0.001
KGKY-RWB-284-AJV-2023-MSMT-1	14345	4332190	0.001
KGKY-RUG-098-MLP-2023-MSMT-1	14446	4362692	0.001
KGKY-RUG-080-TLL-2023-MSMT-1	14604	4410408	0.001
KGKY-RUG-047-RLP-2023-MSMT-1	14910	4502820	0.001
KGKA-BKG211-AWW-2023-MSMT-1	14774	4461748	0.001
KGKA-BKG206-JNN-2023-MSMT-1	15492	4678584	0.001
KGKA-BKG188-NBB-2023-MSMT-1	15366	4640532	0.001
KGKA-BKG-124-ADP-2023-MSMT-1	14728	4447856	0.001
KGKA-BKG-122-AAD-2023-MSMT-1	15040	4542080	0.001
KGKA-BKG-098-APJ-2023-MSMT-1	14190	4285380	0.001
KGBR-BUT274-MNA-2023-MSMT-1	14382	4343364	0.001
KGBR-BUT265-EKE-2023-MSMT-1	14670	4430340	0.001
KGBR-BUT057-JAN-2023-MSMT-1	14413	4352726	0.001
3D7-2023-MSMT-14	14184	4283568	0.001
3D7-2023-MSMT-12	14813	4473526	0.001
